transaction_id,user_id,amount,transaction_type,timestamp,transaction_channel,location,account_age_days,num_transactions_last_24h,avg_transaction_amount_last_7d,is_weekend,device_change_flag,is_fraud
c1ca72ec-58a2-4c54-bfcc-aa24cda341bb,0e14f651-dac2-40ce-ab05-a7100c509df7,93.85,withdrawal,2025-03-14 19:04:55,POS,Walkerberg,863,1,215.17,0,0,0
8ab09732-8c07-45e5-bc62-26353341f907,859ae53b-85e2-40b2-92c0-b15d02ee4b95,602.02,deposit,2025-03-02 04:58:09,mobile,South Holly,267,4,142.4,0,0,0
88f8934d-1a90-4e8f-963b-57c8cf5b1c17,fe09486d-1dfd-4b34-abb1-264d8fd57640,263.35,deposit,2025-04-16 03:50:16,web,West Stacie,1421,0,158.25,1,0,0
c868607b-3cc5-4ba8-9740-ca6458ea76b7,1a56b7c6-6519-4de5-b1bb-d5ab1fd683b5,182.59,transfer,2025-01-18 02:51:27,POS,Port Kennethchester,54,2,90.73,1,0,0
82e46f50-c55f-413f-a39b-fcc292c32d65,43729bde-1ca5-4c33-8d46-59776912ccaa,33.92,payment,2025-04-17 22:45:03,web,Nancyside,278,1,149.4,0,0,0
15e231ff-367c-4116-aed2-69915756ad04,aeac42ec-d26a-44c5-b1cb-200110d98d0c,33.92,deposit,2025-02-04 06:32:37,POS,Kentshire,1344,3,120.6,1,0,0
db9832e4-b535-443e-b42f-d66fc63f7279,b9e45345-5bdc-4104-a97f-f1f8d9ddeffa,11.97,transfer,2025-03-05 17:53:32,POS,New Michael,681,1,139.76,0,0,0
a24c9c54-31b9-42dc-9fab-93414a344dc0,5ac51164-a0fb-47cb-a9b7-4dc808d56988,402.25,withdrawal,2025-02-09 01:45:00,mobile,Edwardsland,1028,2,84.26,1,0,0
dc480e6b-85b5-4eff-b283-b64122890ac4,a469391d-2abc-4885-9d35-d965d98d4080,183.82,withdrawal,2025-01-11 22:36:14,ATM,East Allisonburgh,1311,1,215.66,0,0,0
e8c305e4-c8d1-4735-a6fe-9e784ecc3553,ec5efbca-a8e0-4122-8afc-1e32f88b5efc,246.25,withdrawal,2025-02-14 20:07:20,ATM,Smithburgh,866,1,204.22,1,0,0
1a72cd55-c232-48aa-b6d1-8a9a4c069516,c1891f4a-0eea-4a00-8b54-aede3e2311d6,4.16,withdrawal,2025-03-20 11:23:50,mobile,West Markborough,154,2,215.59,0,0,0
d3a9fd10-744f-4286-9541-6185319019c9,831c82b8-63be-4b1b-9873-72e82589d078,700.71,transfer,2025-01-16 11:18:14,POS,South Barbara,244,3,151.96,1,0,0
b781ca35-cdb4-4643-a9d2-84d55358c27b,8ca83fb4-e657-4210-b4c6-6cc2ba4203c0,357.29,payment,2025-01-05 18:56:28,ATM,Tranport,700,5,134.43,1,1,0
439b62c9-f1bd-4155-b13e-12b0e965b1b7,920a92fe-ba0d-402b-bcf7-a83638b34641,47.74,transfer,2025-03-08 02:55:14,ATM,Lake Kristenland,729,1,165.23,0,0,0
e8fdac69-371e-4264-a162-d483a98766a9,9bd8f7ff-37d1-4aeb-bf4c-85abebb6fc55,40.14,payment,2025-01-17 06:53:18,ATM,North Ericview,1169,3,168.55,0,0,0
ecbd95f1-c1b4-4d16-acca-77e37918c31d,dae70a07-2a84-4db2-bdfc-5bf3698575c1,40.52,withdrawal,2025-01-19 21:23:46,mobile,Denisefurt,1478,2,224.68,0,0,0
763d1163-d8e8-4807-9941-301d869f0fb5,2e1bcfb8-ac92-48ea-90f3-10f68e7ef5ff,72.55,deposit,2025-03-22 21:33:36,web,Ashleyhaven,362,3,159.22,0,0,0
d274e1b0-660d-424e-b59b-5f4c8ca7817a,e932ca3d-f443-4046-9d84-024905eff3b1,148.79,deposit,2025-01-28 16:15:11,web,West Monicamouth,1427,1,155.78,0,0,0
